customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,MonthlyCharges,TotalCharges,Churn
3426-NNNNN,Female,0,No,No,20,Yes,DSL,55.97,1119.4,No
3088-BBBBB,Male,0,Yes,No,27,Yes,DSL,73.62,1987.74,Yes
6050-LLLLL,Male,0,Yes,Yes,53,Yes,Fiber optic,91.74,4862.22,Yes
1653-LLLLL,Male,0,No,No,53,Yes,No,64.36,3411.08,Yes
4441-VVVVV,Male,0,No,Yes,64,Yes,Fiber optic,113.89,7288.96,Yes
5088-VVVVV,Male,0,No,Yes,20,Yes,DSL,49.49,989.8,No
2684-LLLLL,Male,0,Yes,Yes,12,Yes,Fiber optic,67.55,810.6,No
7658-TTTTT,Male,1,No,Yes,56,No,DSL,95.69,5358.64,No
3532-HHHHH,Female,0,Yes,No,48,No,No,88.91,4267.68,No
3662-ZZZZZ,Male,1,No,Yes,53,Yes,No,106.36,5637.08,Yes
3900-NNNNN,Female,0,Yes,No,9,Yes,No,119.68,1077.12,No
1406-FFFFF,Male,0,No,No,52,Yes,DSL,62.69,3259.88,Yes
6442-ZZZZZ,Male,1,No,Yes,43,Yes,Fiber optic,31.12,1338.16,No
7745-ZZZZZ,Male,0,No,No,46,Yes,No,23.04,1059.84,No
5065-IIIII,Female,0,No,Yes,52,Yes,DSL,92.69,4819.88,No
3608-ZZZZZ,Female,0,Yes,Yes,45,Yes,DSL,107.4,4833.0,No
2771-MMMMM,Female,0,No,No,12,Yes,Fiber optic,42.07,504.84,No
1634-PPPPP,Female,1,No,No,36,No,No,35.84,1290.24,No
4644-GGGGG,Male,0,Yes,Yes,23,Yes,DSL,26.22,603.06,Yes
8541-LLLLL,Female,0,No,No,1,Yes,Fiber optic,102.27,102.27,No
6000-ZZZZZ,Male,0,Yes,No,13,Yes,No,51.14,664.82,No
4728-HHHHH,Male,0,No,No,9,Yes,Fiber optic,60.17,541.53,Yes
1387-VVVVV,Female,0,No,Yes,34,Yes,Fiber optic,70.28,2389.52,No
4164-MMMMM,Female,0,No,Yes,24,Yes,DSL,103.95,2494.8,No
6378-IIIII,Female,0,Yes,No,2,No,DSL,85.08,170.16,No
2137-YYYYY,Female,0,No,No,16,Yes,DSL,81.51,1304.16,No
5573-LLLLL,Female,0,No,No,11,Yes,Fiber optic,37.57,413.27,No
9346-MMMMM,Female,1,No,No,53,Yes,DSL,71.32,3779.96,No
9785-KKKKK,Female,0,Yes,No,23,Yes,Fiber optic,91.54,2105.42,No
1452-DDDDD,Female,0,Yes,Yes,28,Yes,Fiber optic,117.33,3285.24,No
5279-FFFFF,Male,0,No,No,42,No,DSL,40.14,1685.88,No
5349-BBBBB,Female,0,Yes,Yes,24,Yes,No,20.95,502.8,No
2776-TTTTT,Female,0,No,No,59,Yes,No,27.53,1624.27,No
8119-LLLLL,Male,0,No,Yes,64,Yes,No,57.59,3685.76,No
6139-NNNNN,Female,0,No,No,27,Yes,Fiber optic,102.05,2755.35,No
9379-DDDDD,Male,0,No,Yes,15,Yes,Fiber optic,20.71,310.65,No
7311-SSSSS,Male,0,No,No,46,Yes,Fiber optic,65.67,3020.82,No
4114-IIIII,Female,1,No,Yes,57,Yes,DSL,52.92,3016.44,No
1727-WWWWW,Male,0,No,Yes,26,Yes,Fiber optic,25.25,656.5,Yes
8144-AAAAA,Male,0,Yes,Yes,52,Yes,DSL,65.02,3381.04,No
9518-ZZZZZ,Male,1,Yes,Yes,41,Yes,DSL,45.47,1864.27,No
9821-VVVVV,Male,0,Yes,Yes,58,Yes,No,55.19,3201.02,Yes
4228-LLLLL,Female,0,Yes,Yes,46,Yes,No,90.56,4165.76,Yes
8066-CCCCC,Male,1,Yes,No,33,Yes,No,72.16,2381.28,No
6409-TTTTT,Female,0,Yes,Yes,36,Yes,DSL,32.46,1168.56,Yes
6143-VVVVV,Male,0,Yes,No,5,Yes,DSL,116.14,580.7,No
3041-XXXXX,Male,0,No,No,6,Yes,DSL,83.59,501.54,No
5920-QQQQQ,Male,0,No,No,24,No,Fiber optic,96.59,2318.16,No
6067-VVVVV,Male,0,No,No,32,No,DSL,27.92,893.44,No
7691-KKKKK,Female,0,No,No,54,Yes,No,24.71,1334.34,No
7592-WWWWW,Female,1,Yes,Yes,57,No,No,21.94,1250.58,No
5844-RRRRR,Male,0,Yes,Yes,6,Yes,DSL,38.88,233.28,No
3085-GGGGG,Male,0,No,Yes,56,Yes,DSL,61.44,3440.64,No
7888-VVVVV,Female,0,No,No,11,Yes,No,113.58,1249.38,No
7211-VVVVV,Male,0,Yes,Yes,15,Yes,DSL,65.71,985.65,No
3851-TTTTT,Male,0,No,Yes,42,Yes,No,49.03,2059.26,Yes
5930-MMMMM,Male,0,No,Yes,6,Yes,Fiber optic,76.19,457.14,No
9977-AAAAA,Female,0,No,Yes,50,Yes,No,31.19,1559.5,Yes
5978-JJJJJ,Female,0,No,Yes,31,Yes,Fiber optic,80.95,2509.45,No
4443-NNNNN,Female,1,Yes,No,7,Yes,DSL,76.84,537.88,Yes
6279-OOOOO,Male,0,No,Yes,71,No,DSL,99.2,7043.2,No
8238-OOOOO,Male,0,No,No,44,Yes,Fiber optic,118.67,5221.48,No
4501-QQQQQ,Female,0,Yes,No,58,Yes,DSL,45.09,2615.22,Yes
8752-ZZZZZ,Female,1,Yes,No,3,Yes,Fiber optic,70.97,212.91,No
3780-VVVVV,Female,0,No,No,66,Yes,DSL,110.89,7318.74,No
2389-JJJJJ,Female,0,Yes,No,28,Yes,No,98.52,2758.56,No
9445-VVVVV,Male,0,No,Yes,28,Yes,DSL,68.74,1924.72,No
6491-CCCCC,Female,0,No,Yes,27,Yes,No,114.54,3092.58,No
4848-VVVVV,Male,0,Yes,Yes,43,Yes,No,25.72,1105.96,No
6085-HHHHH,Female,0,No,No,3,Yes,Fiber optic,113.1,339.3,No
4262-EEEEE,Male,0,No,Yes,8,Yes,DSL,25.05,200.4,No
1400-BBBBB,Female,0,No,Yes,4,Yes,Fiber optic,74.73,298.92,Yes
5011-PPPPP,Female,0,No,No,55,Yes,DSL,109.04,5997.2,No
2193-OOOOO,Female,0,Yes,No,49,Yes,No,46.27,2267.23,No
7790-UUUUU,Female,0,Yes,No,14,Yes,No,67.22,941.08,Yes
4185-WWWWW,Male,0,No,No,31,Yes,DSL,52.43,1625.33,No
7291-PPPPP,Female,0,Yes,Yes,27,No,DSL,115.21,3110.67,No
7547-HHHHH,Male,1,No,No,21,No,Fiber optic,102.36,2149.56,No
3417-UUUUU,Male,0,No,No,16,Yes,DSL,90.9,1454.4,Yes
1090-YYYYY,Male,0,No,Yes,58,Yes,DSL,78.76,4568.08,No
2746-YYYYY,Male,0,No,Yes,70,Yes,DSL,102.06,7144.2,No
7965-HHHHH,Female,1,No,No,56,Yes,Fiber optic,59.23,3316.88,No
3881-ZZZZZ,Male,0,Yes,Yes,25,Yes,DSL,64.76,1619.0,No
9486-OOOOO,Male,0,No,No,24,Yes,No,93.0,2232.0,No
1822-RRRRR,Male,0,Yes,No,9,No,Fiber optic,55.78,502.02,No
5082-DDDDD,Female,0,Yes,Yes,44,Yes,Fiber optic,26.39,1161.16,Yes
8478-EEEEE,Female,0,No,Yes,10,No,No,27.43,274.3,No
8612-VVVVV,Female,1,No,No,52,Yes,No,31.54,1640.08,No
9702-RRRRR,Female,1,No,No,71,Yes,No,106.97,7594.87,Yes
6198-YYYYY,Male,0,No,No,67,Yes,DSL,67.22,4503.74,No
8251-TTTTT,Male,0,No,Yes,27,Yes,No,91.29,2464.83,Yes
9270-NNNNN,Female,1,Yes,No,64,Yes,DSL,59.29,3794.56,Yes
9976-OOOOO,Male,0,No,No,48,Yes,Fiber optic,45.87,2201.76,No
3607-XXXXX,Male,0,No,No,46,Yes,Fiber optic,54.72,2517.12,No
8777-OOOOO,Male,0,Yes,No,51,Yes,No,99.42,5070.42,No
5246-YYYYY,Female,0,Yes,No,53,Yes,DSL,82.52,4373.56,No
5050-UUUUU,Female,0,No,Yes,59,Yes,No,113.76,6711.84,Yes
5543-YYYYY,Male,0,Yes,No,56,No,No,87.97,4926.32,No
9540-PPPPP,Female,1,No,No,46,Yes,DSL,77.02,3542.92,No
4919-IIIII,Female,1,Yes,No,30,Yes,No,81.02,2430.6,No
8206-CCCCC,Female,0,Yes,No,45,Yes,Fiber optic,114.24,5140.8,No
5681-HHHHH,Female,0,No,Yes,25,Yes,No,98.82,2470.5,No
5451-KKKKK,Female,1,Yes,Yes,4,Yes,DSL,22.4,89.6,No
6238-RRRRR,Male,0,Yes,Yes,51,Yes,DSL,73.41,3743.91,No
2320-EEEEE,Female,0,Yes,No,53,Yes,Fiber optic,88.83,4707.99,Yes
3471-HHHHH,Male,1,Yes,No,32,Yes,DSL,94.87,3035.84,No
7275-WWWWW,Male,1,Yes,Yes,49,Yes,DSL,41.31,2024.19,Yes
3503-WWWWW,Female,0,Yes,Yes,37,Yes,Fiber optic,106.72,3948.64,Yes
4505-CCCCC,Male,0,No,Yes,26,Yes,No,115.58,3005.08,Yes
7797-NNNNN,Male,0,No,No,14,Yes,Fiber optic,43.67,611.38,No
6421-RRRRR,Male,0,Yes,No,60,Yes,No,108.26,6495.6,No
8633-NNNNN,Female,0,No,Yes,20,Yes,Fiber optic,29.7,594.0,No
2020-GGGGG,Female,0,No,Yes,45,Yes,No,25.57,1150.65,No
7883-MMMMM,Male,0,No,Yes,68,Yes,Fiber optic,32.92,2238.56,No
1320-YYYYY,Female,0,Yes,No,5,Yes,No,25.77,128.85,No
7232-PPPPP,Female,0,No,No,37,Yes,Fiber optic,104.5,3866.5,Yes
1096-LLLLL,Female,0,Yes,No,61,Yes,No,25.91,1580.51,No
5892-YYYYY,Female,1,No,Yes,61,Yes,Fiber optic,47.17,2877.37,No
7389-NNNNN,Male,0,Yes,Yes,45,No,DSL,30.38,1367.1,No
9818-XXXXX,Male,0,Yes,No,12,Yes,No,49.54,594.48,No
9947-ZZZZZ,Female,0,No,Yes,2,Yes,Fiber optic,29.06,58.12,Yes
4613-PPPPP,Female,0,No,No,5,Yes,No,86.8,434.0,No
4595-IIIII,Male,0,Yes,Yes,7,Yes,No,33.33,233.31,No
8140-PPPPP,Male,0,No,Yes,43,Yes,Fiber optic,105.18,4522.74,No
1475-MMMMM,Female,0,No,Yes,32,Yes,No,101.72,3255.04,Yes
6507-VVVVV,Male,0,No,Yes,49,Yes,Fiber optic,21.37,1047.13,No
7624-XXXXX,Female,0,Yes,No,10,Yes,DSL,109.57,1095.7,No
3704-OOOOO,Female,0,Yes,Yes,27,Yes,No,22.89,618.03,Yes
